Statename,Rank,LandArea
Alaska,1,571951.26
Texas,2,261797.12
California,3,155959.34
Montana,4,145552.43
New_Mexico,5,121355.53
Arizona,6,113634.57
Nevada,7,109825.99
Colorado,8,103717.53
Wyoming,9,97100.4
Oregon,10,95996.79
Idaho,11,82747.21
Utah,12,82143.65
Kansas,13,81814.88
Minnesota,14,79610.08
Nebraska,15,76872.41
South_Dakota,16,75884.64
North_Dakota,17,68975.93
Missouri,18,68885.93
Oklahoma,19,68667.06
Washington,20,66544.06
Georgia,21,57906.14
Michigan,22,56803.82
Iowa,23,55869.36
Illinois,24,55583.58
Wisconsin,25,54310.1
Florida,26,53926.82
Arkansas,27,52068.17
Alabama,28,50744
North_Carolina,29,48710.88
New_York,30,47213.79
Mississippi,31,46906.96
Pennsylvania,32,44816.61
Louisiana,33,43561.85
Tennessee,34,41217.12
Ohio,35,40948.38
Kentucky,36,39728.18
Virginia,37,39594.07
Indiana,38,35866.9
Maine,39,30861.55
South_Carolina,40,30109.47
West_Virginia,41,24077.73
Maryland,42,9773.82
Vermont,43,9249.56
New_Hampshire,44,8968.1
Massachusetts,45,7840.02
New_Jersey,46,7417.34
Hawaii,47,6422.62
Connecticut,48,4844.8
Delaware,49,1953.56
Rhode_Island,50,1044.93
District_of_Columbia,51,61.4
