Statename,Rank
Alaska,1
Texas,2
California,3
Montana,4
New_Mexico,5
Arizona,6
Nevada,7
Colorado,8
Wyoming,9
Oregon,10
Idaho,11
Utah,12
Kansas,13
Minnesota,14
Nebraska,15
South_Dakota,16
North_Dakota,17
Missouri,18
Oklahoma,19
Washington,20
Georgia,21
Michigan,22
Iowa,23
Illinois,24
Wisconsin,25
Florida,26
Arkansas,27
Alabama,28
North_Carolina,29
New_York,30
Mississippi,31
Pennsylvania,32
Louisiana,33
Tennessee,34
Ohio,35
Kentucky,36
Virginia,37
Indiana,38
Maine,39
South_Carolina,40
West_Virginia,41
Maryland,42
Vermont,43
New_Hampshire,44
Massachusetts,45
New_Jersey,46
Hawaii,47
Connecticut,48
Delaware,49
Rhode_Island,50
District_of_Columbia,51
